Decade,Payout,DivYield,CAPE,Rate,RealDiv,RealEarn,Months,PayoutStd
1870,0.7037012987012987,0.061694562313374196,,4.85,7.165,10.225000000000001,108,0.12562879868365115
1880,0.7494669734445403,0.04690729228565769,15.780000000000001,3.6,9.2,12.7,120,0.1237565579888514
1890,0.7375125712370098,0.04227721287304896,17.384999999999998,3.53,8.85,12.1,120,0.19057594679487294
1900,0.6044415273169587,0.04219221301546762,18.09,3.45,12.495000000000001,21.225,120,0.05899710891342643
1910,0.6089405560882071,0.055344547586100856,11.665,4.21,14.52,21.54,120,0.12463962672182577
1920,0.6092258748674443,0.054745493107104984,9.395,3.87,9.795,17.345,120,0.20564554701013307
1930,0.8371610089775738,0.04752588477251221,14.46,2.8049999999999997,13.184999999999999,16.79,120,0.23531987780632532
1940,0.6283210550054723,0.05288373372455529,11.335,2.33,11.125,19.29,120,0.10060198301686239
1950,0.547404823836579,0.04424891792648691,13.92,2.83,18.02,32.55,120,0.04363830832229662
1960,0.5483153768559357,0.03088345299815625,20.965,4.215,24.61,44.855000000000004,120,0.034314032361008356
1970,0.43548127689914307,0.038894404031323826,11.594999999999999,7.46,22.545,50.265,120,0.06885701242384488
1980,0.4709455717170321,0.04222151094633947,10.004999999999999,10.43,22.085,47.209999999999994,120,0.05802900586060247
1990,0.4299932144695587,0.026929367388516288,21.155,6.52,27.41,63.114999999999995,120,0.1216550499780249
2000,0.3550078241418836,0.017462758824806128,26.125,4.4350000000000005,31.45,85.75999999999999,120,0.7256920590193158
2010,0.3976483471609014,0.019679094858275438,25.59,2.325,51.84,120.305,120,0.06559680656191191
2020,0.38665939197721944,0.016447350417461898,30.915,1.6150000000000002,67.80000000000001,178.48000000000002,42,0.10590521226330725
