Symbol,Security,Sector,SubIndustry,Founded,Age,YearAdded,Price,PE,PB,DivYield,EPS,MarketCapBn,Payer,PayoutRatio
MMM,3M,Industrials,Industrial Conglomerates,1902,124,1957,172.62,30.660744,27.59271,0.0181,5.63,89.024004096,True,0.5549595026642985
AOS,A. O. Smith,Industrials,Building Products,1916,110,2017,60.78,16.208,4.4609175,0.0237,3.75,8.37722368,True,0.38412959999999996
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1888,138,1957,103.06,33.352753,3.4480913,0.0245,3.09,179.511263232,True,0.8171423948220066
ABBV,AbbVie,Health Care,Biotechnology,2013,13,2012,259.36,126.51707,-68.85054,0.0267,2.05,458.235346944,True,3.378005853658537
ACN,Accenture,Information Technology,IT Consulting & Other Services,1989,37,2011,146.99,11.740416,2.8201687,0.0444,12.52,89.949372416,True,0.5212744408945688
ADBE,Adobe Inc.,Information Technology,Application Software,1982,44,1997,225.11,12.870784,7.7981777,,17.49,89.481224192,False,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,1969,57,2017,521.95,175.15102,13.19822,,2.98,851.091980288,False,
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1981,45,1998,14.84,7.729167,2.3943207,0.0474,1.92,10.58326016,True,0.3663625
AFL,Aflac,Financials,Life & Health Insurance,1955,71,1999,125.6,14.354285,2.1402037,0.0194,8.75,63.928500224,True,0.27847314285714286
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,1999,27,2000,138.57,27.88129,5.4909654,0.0074,4.97,39.136595968,True,0.2063215291750503
APD,Air Products,Materials,Industrial Gases,1940,86,1985,297.87,31.354736,4.2383323,0.0243,9.5,66.329894912,True,0.7619201052631578
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2008,18,2023,141.1,34.839504,10.994235,,4.05,83.743547392,False,
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1998,28,2007,115.37,38.84512,3.4208028,,2.97,16.77312,False,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,1994,32,2016,114.85,,1.7779464,0.0143,-3.42,13.544794112,True,
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,1994,32,2017,50.94,,0.55269235,0.0565,-6.27,8.8772864,True,
ALGN,Align Technology,Health Care,Health Care Supplies,1997,29,2017,167.015,28.069748,2.8826008,,5.95,11.961302016,False,
ALLE,Allegion,Industrials,Building Products,1908,118,2013,153.36,20.125984,6.1573052,0.0138,7.62,13.041241088,True,0.27773858267716534
LNT,Alliant Energy,Utilities,Electric Utilities,1917,109,2016,74.94,23.566038,2.607788,0.0286,3.18,19.355281408,True,0.6739886792452829
ALL,Allstate,Financials,Property & Casualty Insurance,1931,95,1995,259.97,5.7502766,2.2654943,0.0166,45.21,66.92171776,True,0.0954545896925459
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1998,28,2006,319.74,16.051205,6.2822223,0.0028,19.92,3910.39942656,True,0.044943373493975904
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,1998,28,2014,319.09,16.002506,6.269451,0.0028,19.94,3902.44990976,True,0.04480702106318956
MO,Altria,Consumer Staples,Tobacco,1985,41,1957,72.99,15.237995,-37.976063,0.0581,4.79,121.885351936,True,0.8853275574112733
AMZN,Amazon,Consumer Discretionary,Broadline Retail,1994,32,2005,232.11,27.764355,5.6484075,,8.36,2496.832733184,False,
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,2019,7,2019,44.54,35.632,1.7666892,0.0584,1.25,20.592877568,True,2.0809088
AEE,Ameren,Utilities,Multi-Utilities,1902,124,1991,113.78,20.46403,2.32242,0.0264,5.56,31.48879872,True,0.5402503597122302
AEP,American Electric Power,Utilities,Electric Utilities,1906,120,1957,135.54,99.66176,2.317993,0.028,1.36,73.74798848,True,2.7905294117647057
AXP,American Express,Financials,Consumer Finance,1850,176,1976,326.17,19.803888,6.5435543,0.0117,16.47,222.55443968,True,0.23170546448087437
AIG,American International Group,Financials,Multi-line Insurance,1919,107,1980,79.06,13.919014,1.0427327,0.0253,5.68,41.918103552,True,0.3521510563380282
AMT,American Tower,Real Estate,Telecom Tower REITs,1995,31,2007,166.67,26.88226,22.049213,0.0419,6.2,77.650395136,True,1.1263666129032257
AWK,American Water Works,Utilities,Water Utilities,1886,140,2016,134.66,23.875887,2.3825617,0.0266,5.64,26.296475648,True,0.6350985815602838
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,1894,132,2005,528.9,131.56717,7.669553,0.0129,4.02,46.754762752,True,1.6972164179104479
AME,Ametek,Industrials,Electrical Components & Equipment,1930,96,2013,241.97,36.496227,5.0791354,0.0056,6.63,55.460253696,True,0.20437888386123682
AMGN,Amgen,Health Care,Biotechnology,1980,46,1992,376.04,26.18663,22.083628,0.0268,14.36,202.951901184,True,0.7018016713091924
APH,Amphenol,Information Technology,Electronic Components,1932,94,2008,152.67,43.87069,13.427441,0.0066,3.48,187.819900928,True,0.28954655172413796
ADI,Analog Devices,Information Technology,Semiconductors,1965,61,1999,371.86,55.254086,5.3680363,0.0118,6.73,181.128183808,True,0.6519982169390787
AON,Aon plc,Financials,Insurance Brokers,1982,44,1996,361.7,19.840923,7.856383,0.0091,18.23,77.250781184,True,0.1805523861766319
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1954,72,1997,36.15,8.426574,1.9790869,0.0277,4.29,12.777950208,True,0.2334160839160839
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1977,49,1982,333.02,40.31719,45.87052,0.0032,8.26,4891.182891008,True,0.1290150121065375
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,1967,59,1995,536.25,50.49435,17.807331,0.004,10.62,425.760751616,True,0.20197740112994353
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,1994,32,2012,56.55,33.660713,1.300598,,1.68,11.967140864,False,
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,1995,31,2022,103.36,7.95689,1.5553615,,12.99,36.112908288,False,
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,1902,124,1957,85.92,38.357143,1.816068,0.0242,2.24,41.409703936,True,0.9282428571428569
ANET,Arista Networks,Information Technology,Communications Equipment,2004,22,2018,173.99,59.79038,16.244047,,2.91,219.082899456,False,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,1927,99,2016,247.77,40.15721,2.6772633,0.0113,6.17,63.662522368,True,0.45377649918962726
AIZ,Assurant,Financials,Multi-line Insurance,1892,134,2007,276.94,14.202051,2.343672,0.0127,19.5,13.72172288,True,0.18036605128205127
T,AT&T,Communication Services,Integrated Telecommunication Services,1983,43,1983,24.13,7.963696,1.502865,0.046,3.03,165.34806528,True,0.36633003300330036
ATO,Atmos Energy,Utilities,Gas Utilities,1906,120,2019,179.22,22.071428,2.0065608,0.0223,8.12,29.91537152,True,0.49219285714285715
ADSK,Autodesk,Information Technology,Application Software,1982,44,1989,209.75,30.575802,13.877861,,6.86,44.287717376,False,
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,1949,77,1981,250.09,23.30755,15.777554,0.0272,10.73,99.969540096,True,0.6339653308480895
