Sector,Firms,Payers,MedYield,MedPE,MedPB,MedAge,MedCapBn,TotalCapBn,PayerPct
Utilities,31,31,0.0305,23.18617,2.3168552,113.0,31.48879872,1470.46507008,1.0
Materials,25,25,0.0174,31.354736,2.9749181,86.0,25.46797568,1131.977993728,1.0
Energy,19,19,0.0231,20.452028,2.557234,46.0,73.107775488,2183.55232256,1.0
Financials,67,64,0.01845,15.66013,2.25377515,79.0,48.142493696,7003.3993472,0.9552238805970149
Real Estate,31,29,0.0376,32.3599585,2.4233983,48.0,26.219474944,1287.232775168,0.9354838709677419
Consumer Staples,33,30,0.032350000000000004,25.864779,3.48470365,113.0,35.884728319999994,3437.475929088,0.9090909090909091
Industrials,75,67,0.0131,30.692074,5.576666,79.0,55.460253696,5505.28619264,0.8933333333333333
Communication Services,19,14,0.0107,16.002506,1.9830705,29.0,64.608915456,10727.000203264,0.7368421052631579
Consumer Discretionary,44,31,0.0173,23.411612,4.47407815,47.5,40.911812608,6137.68708096,0.7045454545454546
Health Care,58,38,0.01125,27.335665,2.89012145,48.0,41.037094912,6024.417721344,0.6551724137931034
Information Technology,64,38,0.0116,36.4447335,7.32075025,43.5,76.28449792,23271.47193856,0.59375
