Date,SP500,Dividend,Earnings,CPI,Rate10Y,RealPrice,RealDiv,RealEarn,CAPE,Year,Payout,DivYield,EarnYield,PE,TRIndex,RealTRIndex
1871-01-01,4.44,0.26,0.4,12.46,5.32,109.05,6.39,9.82,,1871,0.65,0.05855855855855856,0.09009009009009009,11.1,1.0,1.0
1871-02-01,4.5,0.26,0.4,12.84,5.32,107.25,6.2,9.53,,1871,0.65,0.05777777777777778,0.08888888888888889,11.25,1.0183933933933933,0.9882540250530905
1871-03-01,4.61,0.26,0.4,13.03,5.33,108.27,6.11,9.39,,1871,0.65,0.05639913232104121,0.08676789587852494,11.525,1.0481908297186076,1.0023375086948465
1871-04-01,4.74,0.26,0.4,12.56,5.33,115.54,6.34,9.75,,1871,0.65,0.05485232067510548,0.08438818565400844,11.85,1.082675777478692,1.0740557474032246
1871-05-01,4.86,0.26,0.4,12.27,5.33,121.22,6.48,9.98,,1871,0.65,0.053497942386831275,0.0823045267489712,12.15,1.115034230743702,1.1323004494756745
1871-06-01,4.82,0.26,0.4,12.08,5.34,122.11,6.59,10.13,,1871,0.65,0.05394190871369294,0.08298755186721991,12.05,1.1108279973629815,1.1457712621806913
1871-07-01,4.73,0.26,0.4,12.08,5.34,119.83,6.59,10.13,,1871,0.65,0.05496828752642706,0.08456659619450317,11.825000000000001,1.0950797442883335,1.1295276170391255
1871-08-01,4.79,0.26,0.4,11.89,5.34,123.29,6.69,10.3,,1871,0.65,0.054279749478079335,0.08350730688935282,11.975,1.113987040789436,1.1673909611636981
1871-09-01,4.84,0.26,0.4,12.18,5.35,121.66,6.54,10.05,,1871,0.65,0.05371900826446281,0.08264462809917356,12.1,1.1306542094581713,1.1566462602503131
1871-10-01,4.59,0.26,0.4,12.37,5.35,113.6,6.43,9.9,,1871,0.65,0.056644880174291944,0.08714596949891068,11.475,1.077314117620785,1.085152296326191
1871-11-01,4.64,0.26,0.4,12.37,5.35,114.84,6.43,9.9,,1871,0.65,0.0560344827586207,0.08620689655172414,11.599999999999998,1.0941349262837095,1.1020954875905433
1871-12-01,4.74,0.26,0.4,12.65,5.36,114.67,6.29,9.68,,1871,0.65,0.05485232067510548,0.08438818565400844,11.85,1.1228245274398556,1.1059599693202056
1872-01-01,4.86,0.2633,0.4025,12.65,5.36,117.57,6.37,9.74,,1872,0.6541614906832297,0.05417695473251028,0.08281893004115226,12.074534161490684,1.15638292576348,1.1390143284595224
1872-02-01,4.88,0.2667,0.405,12.65,5.38,118.05,6.45,9.8,,1872,0.6585185185185185,0.054651639344262294,0.08299180327868853,12.049382716049381,1.1663624786876352,1.1488439908654493
1872-03-01,5.04,0.27,0.4075,12.84,5.4,120.12,6.43,9.71,,1872,0.6625766871165645,0.053571428571428575,0.0808531746031746,12.368098159509204,1.2099158398923187,1.1741083617646646
1872-04-01,5.18,0.2733,0.41,13.13,5.42,120.77,6.37,9.56,,1872,0.6665853658536586,0.05276061776061776,0.07915057915057915,12.634146341463415,1.2489260232221802,1.1851956016259226
1872-05-01,5.18,0.2767,0.4125,13.13,5.43,120.77,6.45,9.62,,1872,0.6707878787878788,0.05341698841698842,0.07963320463320463,12.557575757575757,1.2544171989323896,1.190406572635002
1872-06-01,5.13,0.28,0.415,13.03,5.45,120.48,6.58,9.75,,1872,0.674698795180723,0.05458089668615985,0.08089668615984405,12.361445783132531,1.2478928572268742,1.1933035303950001
1872-07-01,5.1,0.2833,0.4175,12.84,5.47,121.55,6.75,9.95,,1872,0.678562874251497,0.05554901960784314,0.08186274509803922,12.215568862275449,1.2462711641050719,1.209387749591059
1872-08-01,5.04,0.2867,0.42,12.94,5.49,119.24,6.78,9.94,,1872,0.6826190476190477,0.056884920634920635,0.08333333333333333,12.0,1.2373782455206817,1.1914785888089408
1872-09-01,4.95,0.29,0.4225,13.03,5.51,116.25,6.81,9.92,,1872,0.6863905325443787,0.05858585858585858,0.08535353535353535,11.715976331360947,1.2211478856964166,1.16772852308345
1872-10-01,4.97,0.2933,0.425,12.75,5.52,119.33,7.04,10.2,,1872,0.6901176470588236,0.05901408450704226,0.08551307847082495,11.694117647058823,1.232043649659701,1.204020696059598
1872-11-01,4.95,0.2967,0.4275,13.13,5.54,115.41,6.92,9.97,,1872,0.6940350877192983,0.05993939393939394,0.08636363636363636,11.578947368421053,1.2331447215330555,1.1702195910359385
