Symbol,Security,Sector,SubIndustry,Founded,Age,YearAdded,Payer,CompanyKey,AgeBand,PayerLabel
MMM,3M,Industrials,Industrial Conglomerates,1902,124,1957,True,MMM,100-150y,Pays a dividend
AOS,A. O. Smith,Industrials,Building Products,1916,110,2017,True,AOS,100-150y,Pays a dividend
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1888,138,1957,True,ABT,100-150y,Pays a dividend
ABBV,AbbVie,Health Care,Biotechnology,2013,13,2012,True,ABBV,<25y,Pays a dividend
ACN,Accenture,Information Technology,IT Consulting & Other Services,1989,37,2011,True,ACN,25-50y,Pays a dividend
ADBE,Adobe Inc.,Information Technology,Application Software,1982,44,1997,False,ADBE,25-50y,Does not pay
AMD,Advanced Micro Devices,Information Technology,Semiconductors,1969,57,2017,False,AMD,50-75y,Does not pay
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1981,45,1998,True,AES,25-50y,Pays a dividend
AFL,Aflac,Financials,Life & Health Insurance,1955,71,1999,True,AFL,50-75y,Pays a dividend
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,1999,27,2000,True,A,25-50y,Pays a dividend
APD,Air Products,Materials,Industrial Gases,1940,86,1985,True,APD,75-100y,Pays a dividend
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2008,18,2023,False,ABNB,<25y,Does not pay
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1998,28,2007,False,AKAM,25-50y,Does not pay
ALB,Albemarle Corporation,Materials,Specialty Chemicals,1994,32,2016,True,ALB,25-50y,Pays a dividend
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,1994,32,2017,True,ARE,25-50y,Pays a dividend
ALGN,Align Technology,Health Care,Health Care Supplies,1997,29,2017,False,ALGN,25-50y,Does not pay
ALLE,Allegion,Industrials,Building Products,1908,118,2013,True,ALLE,100-150y,Pays a dividend
LNT,Alliant Energy,Utilities,Electric Utilities,1917,109,2016,True,LNT,100-150y,Pays a dividend
ALL,Allstate,Financials,Property & Casualty Insurance,1931,95,1995,True,ALL,75-100y,Pays a dividend
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1998,28,2006,True,GOOGL,25-50y,Pays a dividend
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,1998,28,2014,True,GOOG,25-50y,Pays a dividend
MO,Altria,Consumer Staples,Tobacco,1985,41,1957,True,MO,25-50y,Pays a dividend
AMZN,Amazon,Consumer Discretionary,Broadline Retail,1994,32,2005,False,AMZN,25-50y,Does not pay
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,2019,7,2019,True,AMCR,<25y,Pays a dividend
AEE,Ameren,Utilities,Multi-Utilities,1902,124,1991,True,AEE,100-150y,Pays a dividend
AEP,American Electric Power,Utilities,Electric Utilities,1906,120,1957,True,AEP,100-150y,Pays a dividend
AXP,American Express,Financials,Consumer Finance,1850,176,1976,True,AXP,150y+,Pays a dividend
AIG,American International Group,Financials,Multi-line Insurance,1919,107,1980,True,AIG,100-150y,Pays a dividend
AMT,American Tower,Real Estate,Telecom Tower REITs,1995,31,2007,True,AMT,25-50y,Pays a dividend
AWK,American Water Works,Utilities,Water Utilities,1886,140,2016,True,AWK,100-150y,Pays a dividend
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,1894,132,2005,True,AMP,100-150y,Pays a dividend
AME,Ametek,Industrials,Electrical Components & Equipment,1930,96,2013,True,AME,75-100y,Pays a dividend
AMGN,Amgen,Health Care,Biotechnology,1980,46,1992,True,AMGN,25-50y,Pays a dividend
APH,Amphenol,Information Technology,Electronic Components,1932,94,2008,True,APH,75-100y,Pays a dividend
ADI,Analog Devices,Information Technology,Semiconductors,1965,61,1999,True,ADI,50-75y,Pays a dividend
AON,Aon plc,Financials,Insurance Brokers,1982,44,1996,True,AON,25-50y,Pays a dividend
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1954,72,1997,True,APA,50-75y,Pays a dividend
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1977,49,1982,True,AAPL,25-50y,Pays a dividend
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,1967,59,1995,True,AMAT,50-75y,Pays a dividend
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,1994,32,2012,False,APTV,25-50y,Does not pay
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,1995,31,2022,False,ACGL,25-50y,Does not pay
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,1902,124,1957,True,ADM,100-150y,Pays a dividend
ANET,Arista Networks,Information Technology,Communications Equipment,2004,22,2018,False,ANET,<25y,Does not pay
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,1927,99,2016,True,AJG,75-100y,Pays a dividend
AIZ,Assurant,Financials,Multi-line Insurance,1892,134,2007,True,AIZ,100-150y,Pays a dividend
T,AT&T,Communication Services,Integrated Telecommunication Services,1983,43,1983,True,T,25-50y,Pays a dividend
ATO,Atmos Energy,Utilities,Gas Utilities,1906,120,2019,True,ATO,100-150y,Pays a dividend
ADSK,Autodesk,Information Technology,Application Software,1982,44,1989,False,ADSK,25-50y,Does not pay
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,1949,77,1981,True,ADP,75-100y,Pays a dividend
AZO,AutoZone,Consumer Discretionary,Automotive Retail,1979,47,1997,False,AZO,25-50y,Does not pay
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,1978,48,2007,True,AVB,25-50y,Pays a dividend
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,1935,91,1987,True,AVY,75-100y,Pays a dividend
AXON,Axon Enterprise,Industrials,Aerospace & Defense,1993,33,2023,False,AXON,25-50y,Does not pay
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2017,9,2017,True,BKR,<25y,Pays a dividend
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",1880,146,1984,True,BALL,100-150y,Pays a dividend
BAC,Bank of America,Financials,Diversified Banks,1998,28,1976,True,BAC,25-50y,Pays a dividend
BAX,Baxter International,Health Care,Health Care Equipment,1931,95,1972,True,BAX,75-100y,Pays a dividend
BDX,Becton Dickinson,Health Care,Health Care Equipment,1897,129,1972,True,BDX,100-150y,Pays a dividend
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,1839,187,2010,False,BRK.B,150y+,Does not pay
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1966,60,1999,True,BBY,50-75y,Pays a dividend
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,1976,50,2021,True,TECH,25-50y,Pays a dividend
BIIB,Biogen,Health Care,Biotechnology,1978,48,2003,False,BIIB,25-50y,Does not pay
BLK,BlackRock,Financials,Asset Management & Custody Banks,1988,38,2011,True,BLK,25-50y,Pays a dividend
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,1985,41,2023,True,BX,25-50y,Pays a dividend
BA,Boeing,Industrials,Aerospace & Defense,1916,110,1957,False,BA,100-150y,Does not pay
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1996,30,2009,True,BKNG,25-50y,Pays a dividend
BSX,Boston Scientific,Health Care,Health Care Equipment,1979,47,1995,False,BSX,25-50y,Does not pay
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,1989,37,1957,True,BMY,25-50y,Pays a dividend
AVGO,Broadcom,Information Technology,Semiconductors,1961,65,2014,True,AVGO,50-75y,Pays a dividend
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,1962,64,2018,True,BR,50-75y,Pays a dividend
BRO,Brown & Brown,Financials,Insurance Brokers,1939,87,2021,True,BRO,75-100y,Pays a dividend
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,1870,156,1982,False,BF.B,150y+,Does not pay
BLDR,Builders FirstSource,Industrials,Building Products,1998,28,2023,False,BLDR,25-50y,Does not pay
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,1818,208,2023,True,BG,150y+,Pays a dividend
BXP,"BXP, Inc.",Real Estate,Office REITs,1970,56,2006,True,BXP,50-75y,Pays a dividend
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,1905,121,2007,True,CHRW,100-150y,Pays a dividend
CDNS,Cadence Design Systems,Information Technology,Application Software,1988,38,2017,False,CDNS,25-50y,Does not pay
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,1981,45,2022,True,CPT,25-50y,Pays a dividend
COF,Capital One,Financials,Consumer Finance,1994,32,1998,True,COF,25-50y,Pays a dividend
CAH,Cardinal Health,Health Care,Health Care Distributors,1971,55,1997,True,CAH,50-75y,Pays a dividend
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1972,54,1998,True,CCL,50-75y,Pays a dividend
CARR,Carrier Global,Industrials,Building Products,2020,6,2020,True,CARR,<25y,Pays a dividend
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1925,101,1957,True,CAT,100-150y,Pays a dividend
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,53,2017,True,CBOE,50-75y,Pays a dividend
CBRE,CBRE Group,Real Estate,Real Estate Services,1906,120,2006,False,CBRE,100-150y,Does not pay
CDW,CDW Corporation,Information Technology,Technology Distributors,1984,42,2019,True,CDW,25-50y,Pays a dividend
COR,Cencora,Health Care,Health Care Distributors,1985,41,2001,True,COR,25-50y,Pays a dividend
CNC,Centene Corporation,Health Care,Managed Health Care,1984,42,2016,False,CNC,25-50y,Does not pay
CNP,CenterPoint Energy,Utilities,Multi-Utilities,1882,144,1985,True,CNP,100-150y,Pays a dividend
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,1946,80,2008,True,CF,75-100y,Pays a dividend
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,1947,79,2021,False,CRL,75-100y,Does not pay
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1971,55,1997,True,SCHW,50-75y,Pays a dividend
CHTR,Charter Communications,Communication Services,Cable & Satellite,1993,33,2016,False,CHTR,25-50y,Does not pay
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,1879,147,1957,True,CVX,100-150y,Pays a dividend
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,1993,33,2011,False,CMG,25-50y,Does not pay
CB,Chubb Limited,Financials,Property & Casualty Insurance,1985,41,2010,True,CB,25-50y,Pays a dividend
CHD,Church & Dwight,Consumer Staples,Household Products,1847,179,2015,True,CHD,150y+,Pays a dividend
CI,Cigna,Health Care,Health Care Services,1982,44,1976,True,CI,25-50y,Pays a dividend
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1950,76,1997,True,CINF,75-100y,Pays a dividend
CTAS,Cintas,Industrials,Diversified Support Services,1929,97,2001,True,CTAS,75-100y,Pays a dividend
CSCO,Cisco,Information Technology,Communications Equipment,1984,42,1993,True,CSCO,25-50y,Pays a dividend
C,Citigroup,Financials,Diversified Banks,1998,28,1988,True,C,25-50y,Pays a dividend
CFG,Citizens Financial Group,Financials,Regional Banks,1828,198,2016,True,CFG,150y+,Pays a dividend
CLX,Clorox,Consumer Staples,Household Products,1913,113,1969,True,CLX,100-150y,Pays a dividend
CME,CME Group,Financials,Financial Exchanges & Data,1848,178,2006,True,CME,150y+,Pays a dividend
CMS,CMS Energy,Utilities,Multi-Utilities,1886,140,1957,True,CMS,100-150y,Pays a dividend
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1886,140,1957,True,KO,100-150y,Pays a dividend
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,1994,32,2006,True,CTSH,25-50y,Pays a dividend
CL,Colgate-Palmolive,Consumer Staples,Household Products,1806,220,1957,True,CL,150y+,Pays a dividend
CMCSA,Comcast,Communication Services,Cable & Satellite,1963,63,2002,True,CMCSA,50-75y,Pays a dividend
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,2002,24,1957,True,COP,<25y,Pays a dividend
ED,Consolidated Edison,Utilities,Multi-Utilities,1823,203,1957,True,ED,150y+,Pays a dividend
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,1945,81,2005,True,STZ,75-100y,Pays a dividend
CEG,Constellation Energy,Utilities,Electric Utilities,1999,27,2022,True,CEG,25-50y,Pays a dividend
COO,Cooper Companies (The),Health Care,Health Care Supplies,1958,68,2016,False,COO,50-75y,Does not pay
CPRT,Copart,Industrials,Diversified Support Services,1982,44,2018,False,CPRT,25-50y,Does not pay
GLW,Corning Inc.,Information Technology,Electronic Components,1851,175,1995,True,GLW,150y+,Pays a dividend
CPAY,Corpay,Financials,Transaction & Payment Processing Services,2000,26,2018,False,CPAY,25-50y,Does not pay
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2019,7,2019,True,CTVA,<25y,Pays a dividend
CSGP,CoStar Group,Real Estate,Real Estate Services,1987,39,2022,False,CSGP,25-50y,Does not pay
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,1976,50,1993,True,COST,25-50y,Pays a dividend
CRWD,CrowdStrike,Information Technology,Systems Software,2011,15,2024,False,CRWD,<25y,Does not pay
CCI,Crown Castle,Real Estate,Telecom Tower REITs,1994,32,2012,True,CCI,25-50y,Pays a dividend
CSX,CSX Corporation,Industrials,Rail Transportation,1980,46,1957,True,CSX,25-50y,Pays a dividend
