Year,Decade,DecadeLabel,Century,Era,EraSort,Regime,YearEndDate
1871,1870,1870s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1871-12-31
1872,1870,1870s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1872-12-31
1873,1870,1870s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1873-12-31
1874,1870,1870s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1874-12-31
1875,1870,1870s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1875-12-31
1876,1870,1870s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1876-12-31
1877,1870,1870s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1877-12-31
1878,1870,1870s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1878-12-31
1879,1870,1870s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1879-12-31
1880,1880,1880s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1880-12-31
1881,1880,1880s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1881-12-31
1882,1880,1880s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1882-12-31
1883,1880,1880s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1883-12-31
1884,1880,1880s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1884-12-31
1885,1880,1880s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1885-12-31
1886,1880,1880s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1886-12-31
1887,1880,1880s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1887-12-31
1888,1880,1880s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1888-12-31
1889,1880,1880s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1889-12-31
1890,1890,1890s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1890-12-31
1891,1890,1890s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1891-12-31
1892,1890,1890s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1892-12-31
1893,1890,1890s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1893-12-31
1894,1890,1890s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1894-12-31
1895,1890,1890s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1895-12-31
1896,1890,1890s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1896-12-31
1897,1890,1890s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1897-12-31
1898,1890,1890s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1898-12-31
1899,1890,1890s,19th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1899-12-31
1900,1900,1900s,20th,1871-1900  Gilded Age,0,Pre-1982 (before Rule 10b-18),1900-12-31
1901,1900,1900s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1901-12-31
1902,1900,1900s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1902-12-31
1903,1900,1900s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1903-12-31
1904,1900,1900s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1904-12-31
1905,1900,1900s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1905-12-31
1906,1900,1900s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1906-12-31
1907,1900,1900s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1907-12-31
1908,1900,1900s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1908-12-31
1909,1900,1900s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1909-12-31
1910,1910,1910s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1910-12-31
1911,1910,1910s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1911-12-31
1912,1910,1910s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1912-12-31
1913,1910,1910s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1913-12-31
1914,1910,1910s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1914-12-31
1915,1910,1910s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1915-12-31
1916,1910,1910s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1916-12-31
1917,1910,1910s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1917-12-31
1918,1910,1910s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1918-12-31
1919,1910,1910s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1919-12-31
1920,1920,1920s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1920-12-31
1921,1920,1920s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1921-12-31
1922,1920,1920s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1922-12-31
1923,1920,1920s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1923-12-31
1924,1920,1920s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1924-12-31
1925,1920,1920s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1925-12-31
1926,1920,1920s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1926-12-31
1927,1920,1920s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1927-12-31
1928,1920,1920s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1928-12-31
1929,1920,1920s,20th,1901-1929  Pre-Crash,1,Pre-1982 (before Rule 10b-18),1929-12-31
1930,1930,1930s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1930-12-31
1931,1930,1930s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1931-12-31
1932,1930,1930s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1932-12-31
1933,1930,1930s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1933-12-31
1934,1930,1930s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1934-12-31
1935,1930,1930s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1935-12-31
1936,1930,1930s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1936-12-31
1937,1930,1930s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1937-12-31
1938,1930,1930s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1938-12-31
1939,1930,1930s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1939-12-31
1940,1940,1940s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1940-12-31
1941,1940,1940s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1941-12-31
1942,1940,1940s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1942-12-31
1943,1940,1940s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1943-12-31
1944,1940,1940s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1944-12-31
1945,1940,1940s,20th,1930-1945  Depression & War,2,Pre-1982 (before Rule 10b-18),1945-12-31
1946,1940,1940s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1946-12-31
1947,1940,1940s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1947-12-31
1948,1940,1940s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1948-12-31
1949,1940,1940s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1949-12-31
1950,1950,1950s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1950-12-31
1951,1950,1950s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1951-12-31
1952,1950,1950s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1952-12-31
1953,1950,1950s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1953-12-31
1954,1950,1950s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1954-12-31
1955,1950,1950s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1955-12-31
1956,1950,1950s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1956-12-31
1957,1950,1950s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1957-12-31
1958,1950,1950s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1958-12-31
1959,1950,1950s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1959-12-31
1960,1960,1960s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1960-12-31
1961,1960,1960s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1961-12-31
1962,1960,1960s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1962-12-31
1963,1960,1960s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1963-12-31
1964,1960,1960s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1964-12-31
1965,1960,1960s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1965-12-31
1966,1960,1960s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1966-12-31
1967,1960,1960s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1967-12-31
1968,1960,1960s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1968-12-31
1969,1960,1960s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1969-12-31
1970,1970,1970s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1970-12-31
1971,1970,1970s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1971-12-31
1972,1970,1970s,20th,1946-1972  Post-war boom,3,Pre-1982 (before Rule 10b-18),1972-12-31
1973,1970,1970s,20th,1973-1981  Stagflation,4,Pre-1982 (before Rule 10b-18),1973-12-31
1974,1970,1970s,20th,1973-1981  Stagflation,4,Pre-1982 (before Rule 10b-18),1974-12-31
1975,1970,1970s,20th,1973-1981  Stagflation,4,Pre-1982 (before Rule 10b-18),1975-12-31
1976,1970,1970s,20th,1973-1981  Stagflation,4,Pre-1982 (before Rule 10b-18),1976-12-31
1977,1970,1970s,20th,1973-1981  Stagflation,4,Pre-1982 (before Rule 10b-18),1977-12-31
1978,1970,1970s,20th,1973-1981  Stagflation,4,Pre-1982 (before Rule 10b-18),1978-12-31
1979,1970,1970s,20th,1973-1981  Stagflation,4,Pre-1982 (before Rule 10b-18),1979-12-31
1980,1980,1980s,20th,1973-1981  Stagflation,4,Pre-1982 (before Rule 10b-18),1980-12-31
1981,1980,1980s,20th,1973-1981  Stagflation,4,Pre-1982 (before Rule 10b-18),1981-12-31
1982,1980,1980s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1982-12-31
1983,1980,1980s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1983-12-31
1984,1980,1980s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1984-12-31
1985,1980,1980s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1985-12-31
1986,1980,1980s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1986-12-31
1987,1980,1980s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1987-12-31
1988,1980,1980s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1988-12-31
1989,1980,1980s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1989-12-31
1990,1990,1990s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1990-12-31
1991,1990,1990s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1991-12-31
1992,1990,1990s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1992-12-31
1993,1990,1990s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1993-12-31
1994,1990,1990s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1994-12-31
1995,1990,1990s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1995-12-31
1996,1990,1990s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1996-12-31
1997,1990,1990s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1997-12-31
1998,1990,1990s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1998-12-31
1999,1990,1990s,20th,1982-1999  Buyback era begins,5,Post-1982 (buyback era),1999-12-31
