YearKey,Price,Dividend,Earnings,Payout,DivYield,EarnYield,PE,CAPE,Rate10Y,RealDiv,RealEarn,RealPrice,DivGrowth,EarnGrowth
1871,4.691667,0.260000,0.400000,0.650000,0.055417,0.085258,11.729167,,5.338333,6.423333,9.880000,115.944167,,
1872,5.029167,0.281667,0.416250,0.676677,0.056007,0.082767,12.082082,,5.460833,6.670833,9.860833,119.124167,0.083333,0.040625
1873,4.801667,0.316250,0.446250,0.708683,0.065863,0.092936,10.760037,,5.530000,7.652500,10.794167,115.804167,0.122781,0.072072
1874,4.570000,0.330000,0.460000,0.717391,0.072210,0.100656,9.934783,,5.286667,8.465000,11.800000,117.195000,0.043478,0.030812
1875,4.447500,0.313750,0.405833,0.773101,0.070545,0.091250,10.958932,,4.850000,8.523333,11.017500,120.835833,-0.049242,-0.117754
1876,4.060833,0.300000,0.316667,0.947368,0.073876,0.077981,12.823684,,4.526667,8.750000,9.227500,118.320000,-0.043825,-0.219713
1877,3.135833,0.240417,0.290833,0.826648,0.076668,0.092745,10.782235,,4.399167,7.248333,8.825833,95.079167,-0.198611,-0.081579
1878,3.383333,0.184583,0.305417,0.604366,0.054557,0.090271,11.077763,,4.285000,6.542500,10.835000,120.109167,-0.232236,0.050143
1879,4.122500,0.190833,0.347917,0.548503,0.046291,0.084395,11.849102,,4.128333,6.866667,12.508333,147.746667,0.033860,0.139154
1880,5.209167,0.232500,0.439583,0.528910,0.044633,0.084386,11.850237,,3.873333,7.481667,14.145833,167.308333,0.218341,0.263473
1881,6.254167,0.292500,0.462917,0.631863,0.046769,0.074017,13.510351,17.630833,3.663333,9.153333,14.525000,196.118333,0.258065,0.053081
1882,5.900000,0.320000,0.434583,0.736337,0.054237,0.073658,13.576222,15.243333,3.624167,9.506667,12.910833,175.275833,0.094017,-0.061206
1883,5.634167,0.325417,0.413750,0.786506,0.057758,0.073436,13.617321,15.316667,3.625000,10.435000,13.253333,180.453333,0.016927,-0.047939
1884,4.740833,0.319167,0.351250,0.908660,0.067323,0.074090,13.497034,13.765000,3.573333,11.089167,12.179167,164.410833,-0.019206,-0.151057
1885,4.596667,0.272083,0.288333,0.943642,0.059191,0.062727,15.942197,14.597500,3.451667,10.293333,10.911667,174.145000,-0.147520,-0.179122
1886,5.364167,0.229167,0.302500,0.757576,0.042722,0.056393,17.732782,17.622500,3.439167,9.048333,11.951667,211.855000,-0.157734,0.049133
1887,5.534167,0.236250,0.346250,0.682310,0.042689,0.062566,15.983153,16.988333,3.589167,8.996667,13.185000,210.757500,0.030909,0.144628
1888,5.204167,0.239167,0.305833,0.782016,0.045957,0.058767,17.016349,15.320000,3.569167,8.949167,11.440833,194.721667,0.012346,-0.116727
1889,5.323333,0.224583,0.281667,0.797337,0.042188,0.052912,18.899408,16.682500,3.436667,8.886667,11.148333,210.661667,-0.060976,-0.079019
1890,5.269167,0.220000,0.294583,0.746818,0.041752,0.055907,17.886846,16.575833,3.511667,8.647500,11.577500,207.183333,-0.020408,0.045858
1891,5.028333,0.220000,0.317083,0.693824,0.043752,0.063059,15.858081,16.307500,3.610000,8.673333,12.510000,198.359167,0.000000,0.076379
1892,5.550000,0.230833,0.356250,0.647953,0.041592,0.064189,15.578947,19.169167,3.668333,9.721667,15.004167,233.824167,0.049242,0.123522
1893,4.775000,0.245417,0.310417,0.790604,0.051396,0.065009,15.382550,15.896667,3.727500,10.116667,12.737500,195.851667,0.063177,-0.128655
1894,4.386667,0.228333,0.205833,1.109312,0.052052,0.046922,21.311741,16.580000,3.590000,10.495833,9.461667,201.681667,-0.069610,-0.336913
