CompanyKey,SectorKey,AgeBandKey,Price,PE,PB,DivYield,EPS,MarketCapBn,Payer,PayoutRatio,Age,Founded
MMM,Industrials,100-150y,172.620000,30.660744,27.592710,0.018100,5.630000,89.024004,True,0.554960,124,1902
AOS,Industrials,100-150y,60.780000,16.208000,4.460917,0.023700,3.750000,8.377224,True,0.384130,110,1916
ABT,Health Care,100-150y,103.060000,33.352753,3.448091,0.024500,3.090000,179.511263,True,0.817142,138,1888
ABBV,Health Care,<25y,259.360000,126.517070,-68.850540,0.026700,2.050000,458.235347,True,3.378006,13,2013
ACN,Information Technology,25-50y,146.990000,11.740416,2.820169,0.044400,12.520000,89.949372,True,0.521274,37,1989
ADBE,Information Technology,25-50y,225.110000,12.870784,7.798178,,17.490000,89.481224,False,,44,1982
AMD,Information Technology,50-75y,521.950000,175.151020,13.198220,,2.980000,851.091980,False,,57,1969
AES,Utilities,25-50y,14.840000,7.729167,2.394321,0.047400,1.920000,10.583260,True,0.366362,45,1981
AFL,Financials,50-75y,125.600000,14.354285,2.140204,0.019400,8.750000,63.928500,True,0.278473,71,1955
A,Health Care,25-50y,138.570000,27.881290,5.490965,0.007400,4.970000,39.136596,True,0.206322,27,1999
APD,Materials,75-100y,297.870000,31.354736,4.238332,0.024300,9.500000,66.329895,True,0.761920,86,1940
ABNB,Consumer Discretionary,<25y,141.100000,34.839504,10.994235,,4.050000,83.743547,False,,18,2008
AKAM,Information Technology,25-50y,115.370000,38.845120,3.420803,,2.970000,16.773120,False,,28,1998
ALB,Materials,25-50y,114.850000,,1.777946,0.014300,-3.420000,13.544794,True,,32,1994
ARE,Real Estate,25-50y,50.940000,,0.552692,0.056500,-6.270000,8.877286,True,,32,1994
ALGN,Health Care,25-50y,167.015000,28.069748,2.882601,,5.950000,11.961302,False,,29,1997
ALLE,Industrials,100-150y,153.360000,20.125984,6.157305,0.013800,7.620000,13.041241,True,0.277739,118,1908
LNT,Utilities,100-150y,74.940000,23.566038,2.607788,0.028600,3.180000,19.355281,True,0.673989,109,1917
ALL,Financials,75-100y,259.970000,5.750277,2.265494,0.016600,45.210000,66.921718,True,0.095455,95,1931
GOOGL,Communication Services,25-50y,319.740000,16.051205,6.282222,0.002800,19.920000,3910.399427,True,0.044943,28,1998
GOOG,Communication Services,25-50y,319.090000,16.002506,6.269451,0.002800,19.940000,3902.449910,True,0.044807,28,1998
MO,Consumer Staples,25-50y,72.990000,15.237995,-37.976063,0.058100,4.790000,121.885352,True,0.885328,41,1985
AMZN,Consumer Discretionary,25-50y,232.110000,27.764355,5.648408,,8.360000,2496.832733,False,,32,1994
AMCR,Materials,<25y,44.540000,35.632000,1.766689,0.058400,1.250000,20.592878,True,2.080909,7,2019
AEE,Utilities,100-150y,113.780000,20.464030,2.322420,0.026400,5.560000,31.488799,True,0.540250,124,1902
AEP,Utilities,100-150y,135.540000,99.661760,2.317993,0.028000,1.360000,73.747988,True,2.790529,120,1906
AXP,Financials,150y+,326.170000,19.803888,6.543554,0.011700,16.470000,222.554440,True,0.231705,176,1850
AIG,Financials,100-150y,79.060000,13.919014,1.042733,0.025300,5.680000,41.918104,True,0.352151,107,1919
AMT,Real Estate,25-50y,166.670000,26.882260,22.049213,0.041900,6.200000,77.650395,True,1.126367,31,1995
AWK,Utilities,100-150y,134.660000,23.875887,2.382562,0.026600,5.640000,26.296476,True,0.635099,140,1886
AMP,Financials,100-150y,528.900000,131.567170,7.669553,0.012900,4.020000,46.754763,True,1.697216,132,1894
