Date,YearKey,SP500,Dividend,Earnings,CPI,Rate10Y,CAPE,RealPrice,RealDiv,RealEarn,Payout,DivYield,PE,TRIndex,RealTRIndex
1871-01-01,1871,4.440000,0.260000,0.400000,12.460000,5.320000,,109.050000,6.390000,9.820000,0.650000,0.058559,11.100000,1.000000,1.000000
1871-02-01,1871,4.500000,0.260000,0.400000,12.840000,5.320000,,107.250000,6.200000,9.530000,0.650000,0.057778,11.250000,1.018393,0.988254
1871-03-01,1871,4.610000,0.260000,0.400000,13.030000,5.330000,,108.270000,6.110000,9.390000,0.650000,0.056399,11.525000,1.048191,1.002338
1871-04-01,1871,4.740000,0.260000,0.400000,12.560000,5.330000,,115.540000,6.340000,9.750000,0.650000,0.054852,11.850000,1.082676,1.074056
1871-05-01,1871,4.860000,0.260000,0.400000,12.270000,5.330000,,121.220000,6.480000,9.980000,0.650000,0.053498,12.150000,1.115034,1.132300
1871-06-01,1871,4.820000,0.260000,0.400000,12.080000,5.340000,,122.110000,6.590000,10.130000,0.650000,0.053942,12.050000,1.110828,1.145771
1871-07-01,1871,4.730000,0.260000,0.400000,12.080000,5.340000,,119.830000,6.590000,10.130000,0.650000,0.054968,11.825000,1.095080,1.129528
1871-08-01,1871,4.790000,0.260000,0.400000,11.890000,5.340000,,123.290000,6.690000,10.300000,0.650000,0.054280,11.975000,1.113987,1.167391
1871-09-01,1871,4.840000,0.260000,0.400000,12.180000,5.350000,,121.660000,6.540000,10.050000,0.650000,0.053719,12.100000,1.130654,1.156646
1871-10-01,1871,4.590000,0.260000,0.400000,12.370000,5.350000,,113.600000,6.430000,9.900000,0.650000,0.056645,11.475000,1.077314,1.085152
1871-11-01,1871,4.640000,0.260000,0.400000,12.370000,5.350000,,114.840000,6.430000,9.900000,0.650000,0.056034,11.600000,1.094135,1.102095
1871-12-01,1871,4.740000,0.260000,0.400000,12.650000,5.360000,,114.670000,6.290000,9.680000,0.650000,0.054852,11.850000,1.122825,1.105960
1872-01-01,1872,4.860000,0.263300,0.402500,12.650000,5.360000,,117.570000,6.370000,9.740000,0.654161,0.054177,12.074534,1.156383,1.139014
1872-02-01,1872,4.880000,0.266700,0.405000,12.650000,5.380000,,118.050000,6.450000,9.800000,0.658519,0.054652,12.049383,1.166362,1.148844
1872-03-01,1872,5.040000,0.270000,0.407500,12.840000,5.400000,,120.120000,6.430000,9.710000,0.662577,0.053571,12.368098,1.209916,1.174108
1872-04-01,1872,5.180000,0.273300,0.410000,13.130000,5.420000,,120.770000,6.370000,9.560000,0.666585,0.052761,12.634146,1.248926,1.185196
1872-05-01,1872,5.180000,0.276700,0.412500,13.130000,5.430000,,120.770000,6.450000,9.620000,0.670788,0.053417,12.557576,1.254417,1.190407
1872-06-01,1872,5.130000,0.280000,0.415000,13.030000,5.450000,,120.480000,6.580000,9.750000,0.674699,0.054581,12.361446,1.247893,1.193304
1872-07-01,1872,5.100000,0.283300,0.417500,12.840000,5.470000,,121.550000,6.750000,9.950000,0.678563,0.055549,12.215569,1.246271,1.209388
1872-08-01,1872,5.040000,0.286700,0.420000,12.940000,5.490000,,119.240000,6.780000,9.940000,0.682619,0.056885,12.000000,1.237378,1.191479
1872-09-01,1872,4.950000,0.290000,0.422500,13.030000,5.510000,,116.250000,6.810000,9.920000,0.686391,0.058586,11.715976,1.221148,1.167729
1872-10-01,1872,4.970000,0.293300,0.425000,12.750000,5.520000,,119.330000,7.040000,10.200000,0.690118,0.059014,11.694118,1.232044,1.204021
1872-11-01,1872,4.950000,0.296700,0.427500,13.130000,5.540000,,115.410000,6.920000,9.970000,0.694035,0.059939,11.578947,1.233145,1.170220
1872-12-01,1872,5.070000,0.300000,0.430000,12.940000,5.560000,,119.950000,7.100000,10.170000,0.697674,0.059172,11.790698,1.269199,1.222119
1873-01-01,1873,5.110000,0.302500,0.432500,12.940000,5.580000,,120.890000,7.160000,10.230000,0.699422,0.059198,11.815029,1.285470,1.237787
1873-02-01,1873,5.150000,0.305000,0.435000,13.230000,5.570000,,119.210000,7.060000,10.070000,0.701149,0.059223,11.839080,1.301874,1.226104
1873-03-01,1873,5.110000,0.307500,0.437500,13.230000,5.560000,,118.280000,7.120000,10.130000,0.702857,0.060176,11.680000,1.298188,1.222632
1873-04-01,1873,5.040000,0.310000,0.440000,13.230000,5.550000,,116.660000,7.180000,10.180000,0.704545,0.061508,11.454545,1.286914,1.212014
