StartingDivYield,Fwd10yRealReturn,YearKey
0.042811,0.045498,1881
0.046457,0.044681,1881
0.054054,0.078455,1882
0.053333,0.081322,1882
0.055215,0.070957,1883
0.056859,0.043010,1883
0.063378,0.061540,1884
0.071368,0.073851,1884
0.071745,0.072259,1885
0.060359,0.067151,1885
0.045827,0.044399,1886
0.042833,0.037015,1886
0.039875,0.038959,1887
0.042487,0.046608,1887
0.046761,0.060967,1888
0.046362,0.064588,1888
0.043740,0.078395,1889
0.042302,0.067632,1889
0.040892,0.053132,1890
0.039711,0.048466,1890
0.045455,0.085384,1891
0.046122,0.099343,1891
0.040236,0.076543,1892
0.041823,0.076796,1892
0.042923,0.076877,1893
0.058804,0.082156,1893
0.057106,0.068619,1894
0.053341,0.069839,1894
0.049012,0.087891,1895
0.042013,0.090063,1895
0.044309,0.105192,1896
0.045594,0.097568,1896
0.042654,0.094379,1897
0.040359,0.063668,1897
0.037234,0.050211,1898
0.037736,0.061279,1898
0.033026,0.056406,1899
0.032771,0.065000,1899
0.035656,0.074264,1900
0.044795,0.061196,1900
0.042673,0.055313,1901
0.039306,0.050844,1901
0.039507,0.043997,1902
0.037884,0.042138,1902
0.039208,0.045121,1903
0.049883,0.048011,1903
0.051901,0.052883,1904
0.048186,0.040168,1904
0.036975,0.019545,1905
0.036268,0.019939,1905
0.034022,0.024585,1906
0.040927,0.026749,1906
0.042186,0.024351,1907
0.052002,0.028076,1907
0.063752,0.011113,1908
0.052614,-0.004421,1908
0.044514,-0.018562,1909
0.042586,-0.007838,1909
0.043899,-0.021001,1910
0.052951,-0.023211,1910
0.050701,-0.037513,1911
0.048806,-0.045469,1911
0.051623,-0.021186,1912
0.049614,-0.004962,1912
0.051613,0.004865,1913
0.058323,0.005976,1913
0.056750,0.014183,1914
0.057943,0.026680,1914
0.056257,0.045630,1915
0.053159,0.041064,1915
0.047245,0.040767,1916
0.054800,0.048015,1916
0.059645,0.058743,1917
0.072332,0.091574,1917
0.094313,0.136944,1918
0.082557,0.149778,1918
0.072191,0.183079,1919
0.057487,0.179578,1919
0.059830,0.168709,1920
0.065525,0.189143,1920
0.071139,0.162836,1921
0.073629,0.157143,1921
0.063589,0.085201,1922
0.057485,0.023642,1922
0.057494,0.061805,1923
0.064727,0.123932,1923
0.060215,0.105453,1924
0.059989,0.087316,1924
0.052382,0.067100,1925
0.052180,0.078318,1925
0.048024,0.091665,1926
0.051704,0.101182,1926
0.051993,0.105816,1927
0.048403,0.080855,1927
0.044307,0.028859,1928
0.042625,0.028953,1928
0.034594,0.005936,1929
0.032303,-0.011006,1929
0.044717,0.019701,1930
0.046334,-0.001168,1930
0.060494,0.027622,1931
0.061877,0.026826,1931
0.095578,0.056216,1932
0.126407,0.094957,1932
0.069817,0.064688,1933
0.041407,0.035617,1933
0.041822,0.039052,1934
0.047075,0.060205,1934
0.048596,0.067509,1935
0.041315,0.061209,1935
0.034884,0.055447,1936
0.036632,0.034846,1936
0.041501,-0.001567,1937
0.049286,0.007774,1937
0.070144,0.031122,1938
0.058279,0.028817,1938
0.041067,0.021148,1939
0.046114,0.024701,1939
0.050677,0.036128,1940
0.065732,0.059527,1940
0.063823,0.070401,1941
0.067576,0.079392,1941
0.078761,0.109481,1942
0.074846,0.119910,1942
0.058474,0.110618,1943
0.048043,0.082921,1943
0.051758,0.092520,1944
0.048718,0.102797,1944
0.047690,0.118441,1945
0.044204,0.129813,1945
0.036996,0.111820,1946
0.037858,0.129773,1946
0.046899,0.149359,1947
0.048827,0.152935,1947
0.056867,0.146683,1948
0.052172,0.148751,1948
0.061632,0.175368,1949
0.069558,0.184082,1949
0.068128,0.161473,1950
0.071538,0.153566,1950
0.070093,0.141733,1951
0.070528,0.147570,1951
0.058426,0.143129,1952
0.057815,0.115500,1952
0.053858,0.123542,1953
0.058460,0.137099,1953
0.057214,0.141389,1954
0.048346,0.129863,1954
0.043446,0.112901,1955
0.037167,0.089742,1955
0.037826,0.095291,1956
0.037174,0.075140,1956
0.038227,0.080357,1957
0.035869,0.084467,1957
0.043369,0.103179,1958
0.037625,0.095267,1958
0.031583,0.074062,1959
0.030075,0.055760,1959
0.032167,0.051467,1960
0.034921,0.035139,1960
0.032597,0.048822,1961
0.029747,0.043667,1961
0.029342,0.041600,1962
0.036276,0.064611,1962
0.032842,0.059252,1963
0.031900,0.037978,1963
0.030041,0.013293,1964
0.028839,-0.019043,1964
0.029223,-0.034852,1965
0.030935,-0.011767,1965
0.029361,-0.017817,1966
0.033201,-0.002551,1966
0.034103,-0.002404,1967
0.031251,-0.017592,1967
0.030829,-0.029416,1968
0.029943,-0.029061,1968
0.030196,-0.029041,1969
0.033119,-0.021311,1969
0.035027,-0.011689,1970
0.042041,0.011338,1970
0.033480,-0.001923,1971
0.031279,-0.012628,1971
0.029719,-0.026995,1972
