Year,SmoothRatio,Payout,DivYield,YearKey
1891,1.027982,0.741578,0.054397,1891
1892,0.995594,0.741578,0.050503,1892
1893,0.960972,0.752197,0.049082,1893
1894,0.837595,0.765338,0.049082,1894
1895,0.862378,0.769796,0.046530,1895
1896,0.901391,0.769796,0.046124,1896
1897,0.827088,0.752197,0.045295,1897
1898,0.693520,0.752197,0.044324,1898
1899,0.665367,0.752197,0.043883,1899
1900,0.727693,0.752197,0.043677,1900
1901,0.689142,0.752197,0.043162,1901
1902,0.669179,0.752197,0.042706,1902
1903,0.675662,0.720321,0.042706,1903
1904,0.686092,0.688067,0.042706,1904
1905,0.672099,0.681849,0.042439,1905
1906,0.620695,0.664671,0.042139,1906
1907,0.647537,0.646927,0.042139,1907
1908,0.647347,0.646927,0.042139,1908
1909,0.643354,0.639589,0.042753,1909
1910,0.639246,0.627831,0.043509,1910
1911,0.614963,0.627831,0.043509,1911
1912,0.618778,0.627831,0.043809,1912
1913,0.640942,0.627831,0.043809,1913
1914,0.752456,0.627831,0.043809,1914
1915,0.671805,0.617916,0.045090,1915
1916,0.455162,0.605424,0.046919,1916
1917,0.500670,0.596195,0.048025,1917
1918,0.490642,0.596195,0.049324,1918
1919,0.529262,0.596195,0.050377,1919
1920,0.481744,0.600689,0.051059,1920
1921,0.414801,0.600689,0.052043,1921
1922,0.418180,0.608710,0.053322,1922
1923,0.352900,0.614150,0.053792,1923
1924,0.351977,0.608710,0.055062,1924
1925,0.350166,0.608710,0.055062,1925
1926,0.348157,0.608710,0.055062,1926
1927,0.343555,0.614150,0.055062,1927
1928,0.352025,0.614150,0.054593,1928
1929,0.356332,0.610794,0.054593,1929
1930,0.348983,0.611498,0.054593,1930
1931,0.344897,0.611498,0.056373,1931
1932,0.404576,0.611498,0.057166,1932
1933,0.458893,0.611498,0.057118,1933
1934,0.459969,0.611498,0.055386,1934
1935,0.426415,0.611498,0.055386,1935
1936,0.515670,0.620907,0.055049,1936
1937,0.542404,0.637216,0.051971,1937
1938,0.540824,0.647819,0.051971,1938
1939,0.563958,0.665157,0.051649,1939
1940,0.565350,0.665157,0.051649,1940
1941,0.598578,0.647819,0.051649,1941
1942,0.599389,0.646050,0.051649,1942
1943,0.701442,0.646050,0.051649,1943
1944,0.696750,0.647819,0.051195,1944
1945,0.700799,0.659126,0.050687,1945
1946,0.696084,0.676117,0.049161,1946
1947,0.621743,0.676117,0.050540,1947
1948,0.604402,0.676117,0.050699,1948
1949,0.611372,0.676117,0.051320,1949
1950,0.644937,0.659126,0.051989,1950
1951,0.706627,0.646397,0.051989,1951
1952,0.696720,0.639021,0.051989,1952
1953,0.636898,0.626640,0.053822,1953
1954,0.625757,0.611841,0.053822,1954
1955,0.705941,0.611089,0.053822,1955
1956,0.669894,0.586536,0.053822,1956
1957,0.586386,0.568922,0.053822,1957
1958,0.606880,0.568922,0.051173,1958
1959,0.503939,0.565928,0.051173,1959
1960,0.502164,0.565928,0.050540,1960
1961,0.498372,0.565928,0.050105,1961
1962,0.482840,0.565928,0.046395,1962
1963,0.437378,0.568685,0.041630,1963
1964,0.456561,0.564941,0.039773,1964
1965,0.454729,0.557331,0.039320,1965
1966,0.465682,0.548406,0.038596,1966
1967,0.625750,0.548406,0.037879,1967
1968,0.747658,0.548406,0.036251,1968
1969,0.760966,0.548406,0.033943,1969
1970,0.590758,0.557331,0.033943,1970
1971,0.479538,0.557331,0.033175,1971
1972,0.463644,0.548406,0.032561,1972
1973,0.410233,0.542994,0.031788,1973
1974,0.402925,0.539515,0.031788,1974
1975,0.412881,0.539515,0.031788,1975
1976,0.370247,0.539515,0.031788,1976
1977,0.433451,0.539515,0.031788,1977
1978,0.506327,0.537693,0.031788,1978
1979,0.472383,0.536884,0.032561,1979
1980,0.493447,0.528536,0.032561,1980
1981,0.506079,0.516435,0.033175,1981
1982,0.472633,0.498300,0.035253,1982
1983,0.453097,0.498300,0.037712,1983
1984,0.421781,0.471508,0.040340,1984
1985,0.409250,0.471508,0.042034,1985
1986,0.394191,0.471508,0.042034,1986
1987,0.393851,0.471508,0.042034,1987
1988,0.330493,0.456534,0.042034,1988
1989,0.345691,0.448457,0.042034,1989
1990,0.338571,0.448457,0.042034,1990
1991,0.285344,0.448457,0.042034,1991
1992,0.265721,0.448457,0.042034,1992
1993,0.285332,0.456534,0.042034,1993
1994,0.280574,0.471508,0.039406,1994
1995,0.269359,0.471508,0.036090,1995
1996,0.264294,0.471508,0.034833,1996
1997,0.231948,0.471508,0.034588,1997
1998,0.210980,0.471508,0.033377,1998
1999,0.213600,0.471508,0.032301,1999
2000,0.208757,0.471508,0.030997,2000
2001,0.217970,0.471508,0.029723,2001
2002,0.210555,0.477361,0.028812,2002
2003,0.199984,0.456420,0.027827,2003
2004,0.199902,0.447485,0.026250,2004
2005,0.216168,0.439294,0.023121,2005
2006,0.231224,0.433350,0.019720,2006
2007,0.240037,0.419958,0.017919,2007
2008,0.219836,0.419958,0.017919,2008
2009,0.219085,0.425902,0.017919,2009
2010,0.094643,0.408090,0.017919,2010
2011,0.097365,0.401474,0.017919,2011
2012,0.105317,0.395502,0.017919,2012
2013,0.110397,0.385763,0.017919,2013
2014,0.112112,0.371499,0.017919,2014
2015,0.112943,0.371499,0.017919,2015
2016,0.112690,0.371499,0.017919,2016
2017,0.112693,0.378889,0.018663,2017
